date;Share Price;Adjusted Share Price;ExpiryDate;ExercisePrice;Option price;EndofDayDelta;Empirical volatility;Implied volatility
2024-01-17;28.165;25.729320930664475;2026-12-18;32.0;2.43;42.1439;23.0;23.142
2024-01-18;28.11;25.679077271825967;2026-12-18;32.0;2.2;39.926;23.0;23.12
2024-01-19;27.98;25.560319532753134;2026-12-18;32.0;2.15;39.5109;22.0;22.953
2024-03-14;30.015;27.720905330724275;2026-12-18;32.0;2.82;46.7382;21.0;21.933
2024-03-15;30.11;27.808644328106208;2026-12-18;32.0;2.91;47.4478;22.0;22.07
2024-03-19;30.685;28.339696154365292;2026-12-18;32.0;3.04;48.7118;22.0;22.003
2024-03-20;30.625;28.28428205075565;2026-12-18;32.0;3.22;50.3022;21.0;21.852
2024-03-21;30.82;28.464377887486993;2026-12-18;32.0;3.17;50.008;21.0;21.807
2024-03-22;30.92;28.5567347268364;2026-12-18;32.0;3.24;50.6919;21.0;21.629
2024-03-26;31.11;28.73221272160027;2026-12-18;32.0;3.42;52.0999;21.0;21.602
2024-03-27;30.695;28.348931838300235;2026-12-18;32.0;3.37;51.7505;21.0;21.552
2024-03-28;30.955;28.58905962060869;2026-12-18;32.0;3.13;49.9439;21.0;21.464
2024-04-03;32.255;29.789698532150975;2026-12-18;32.0;3.77;54.9775;21.0;21.423
2024-04-04;32.405;29.92823379117508;2026-12-18;32.0;3.94;56.1892;21.0;21.462
2024-04-05;32.565;30.076004734134127;2026-12-18;32.0;4.03;56.7874;21.0;21.535
2024-04-09;33.16;30.625527928263093;2026-12-18;32.0;4.39;58.9863;21.0;21.802
2024-04-10;33.645;31.07345859910772;2026-12-18;32.0;4.5;59.6441;21.0;21.784
2024-04-11;33.56;30.994955285660726;2026-12-18;32.0;4.85;61.4357;22.0;22.034
2024-04-12;34.57;31.927759363089727;2026-12-18;32.0;4.81;61.1381;22.0;22.154
2024-04-16;33.48;30.921069814181195;2026-12-18;32.0;5.21;62.88;22.0;22.714
2024-04-17;33.53;30.9672482338559;2026-12-18;32.0;4.87;60.9478;22.0;22.744
2024-04-18;33.47;30.911834130246255;2026-12-18;32.0;4.9;61.1216;22.0;22.794
2024-04-19;33.465;30.90721628827879;2026-12-18;32.0;4.87;60.9124;22.0;22.853
2024-04-24;34.015;31.41517890470052;2026-12-18;32.0;5.14;62.2506;23.0;23.003
2024-04-26;34.045;31.442885956505343;2026-12-18;32.0;5.22;62.7769;22.0;22.954
2024-05-07;33.885;31.29511501354629;2026-12-18;32.0;4.91;61.8208;22.0;22.467
2024-05-09;33.96;31.36438264305835;2026-12-18;32.0;4.87;61.7878;22.0;22.269
2024-05-10;34.405;31.775370578163205;2026-12-18;32.0;4.98;62.3344;22.0;22.359
