HANDELSID,TID,PRIS,VOLUM,TYPE
1IV251B9R,16:28:08,268.60,557,Trading at last
1IV251B9Q,16:28:08,268.60,750,Trading at last
1IV251B9N,16:28:00,268.60,109,Trading at last
1IV251B9M,16:28:00,268.60,41,Trading at last
1IV251B9L,16:28:00,268.60,109,Trading at last
1IV251B9K,16:28:00,268.60,41,Trading at last
1IV251B9J,16:28:00,268.60,109,Trading at last
1IV251B9I,16:28:00,268.60,41,Trading at last
1IV251B9H,16:28:00,268.60,109,Trading at last
1IV251B9G,16:28:00,268.60,41,Trading at last
1IV251B9F,16:28:00,268.60,109,Trading at last
1IV251B9E,16:28:00,268.60,41,Trading at last
1IV251B9D,16:28:00,268.60,109,Trading at last
1IV251B9C,16:28:00,268.60,41,Trading at last
1IV251B9B,16:28:00,268.60,109,Trading at last
1IV251B9A,16:28:00,268.60,41,Trading at last
1IV251B99,16:28:00,268.60,109,Trading at last
1IV251B98,16:28:00,268.60,41,Trading at last
1IV251B97,16:28:00,268.60,150,Trading at last
1IV251B96,16:28:00,268.60,109,Trading at last
1IV251B95,16:28:00,268.60,41,Trading at last
1IV251B94,16:28:00,268.60,109,Trading at last
1IV251B93,16:28:00,268.60,41,Trading at last
1IV251B92,16:28:00,268.60,109,Trading at last
1IV251B91,16:28:00,268.60,41,Trading at last
1IV251B90,16:28:00,268.60,109,Trading at last
1IV251B8Z,16:28:00,268.60,41,Trading at last
1IV251B8Y,16:28:00,268.60,1 184,Trading at last
1IV251B8X,16:28:00,268.60,109,Trading at last
1IV251B8W,16:28:00,268.60,41,Trading at last
1IV251B8V,16:28:00,268.60,109,Trading at last
1IV251B8U,16:28:00,268.60,41,Trading at last
1IV251B8T,16:28:00,268.60,109,Trading at last
1IV251B8S,16:28:00,268.60,41,Trading at last
1IV251B8R,16:28:00,268.60,109,Trading at last
1IV251B8Q,16:28:00,268.60,41,Trading at last
1IV251B8P,16:28:00,268.60,150,Trading at last
1IV251B8O,16:28:00,268.60,900,Trading at last
1IV251B8N,16:28:00,268.60,726,Trading at last
1IV251B8M,16:28:00,268.60,24,Trading at last
1IV251B8L,16:28:00,268.60,750,Trading at last
1IV251B8K,16:28:00,268.60,919,Trading at last
1IV251B8J,16:28:00,268.60,1 224,Trading at last
1IV251B8I,16:28:00,268.60,857,Trading at last
1IV251B85,16:27:10,268.60,401,Trading at last
1IV251B7L,16:26:15,268.60,150,Trading at last
1IV251B7K,16:26:15,268.60,150,Trading at last
1IV251B7J,16:26:15,268.60,150,Trading at last
1IV251B7I,16:26:15,268.60,150,Trading at last
1IV251B7H,16:26:15,268.60,150,Trading at last
1IV251B7G,16:26:15,268.60,150,Trading at last
1IV251B7F,16:26:15,268.60,150,Trading at last
1IV251B7E,16:26:15,268.60,150,Trading at last
1IV251B7D,16:26:15,268.60,150,Trading at last
1IV251B7C,16:26:15,268.60,150,Trading at last
1IV251B7B,16:26:15,268.60,150,Trading at last
1IV251B7A,16:26:15,268.60,150,Trading at last
1IV251B79,16:26:15,268.60,150,Trading at last
1IV251B78,16:26:15,268.60,150,Trading at last
1IV251B77,16:26:15,268.60,150,Trading at last
1IV251B76,16:26:15,268.60,150,Trading at last
1IV251B75,16:26:15,268.60,150,Trading at last
1IV251B74,16:26:15,268.60,150,Trading at last
1IV251B73,16:26:15,268.60,150,Trading at last
1IV251B72,16:26:15,268.60,150,Trading at last
1IV251B71,16:26:15,268.60,150,Trading at last
1IV251B70,16:26:15,268.60,150,Trading at last
1IV251B6Z,16:26:15,268.60,150,Trading at last
1IV251B6Y,16:26:15,268.60,150,Trading at last
1IV251B6X,16:26:15,268.60,150,Trading at last
1IV251B6W,16:26:15,268.60,150,Trading at last
1IV251B6V,16:26:15,268.60,150,Trading at last
1IV251B6U,16:26:15,268.60,150,Trading at last
1IV251B6T,16:26:15,268.60,150,Trading at last
1IV251B6S,16:26:15,268.60,150,Trading at last
1IV251B6R,16:26:15,268.60,150,Trading at last
1IV251B6Q,16:26:15,268.60,150,Trading at last
1IV251B6P,16:26:15,268.60,150,Trading at last
1IV251B6O,16:26:15,268.60,626,Trading at last
1IV251B6N,16:25:56,268.60,150,Trading at last
1IV251B6M,16:25:56,268.60,150,Trading at last
1IV251B6L,16:25:56,268.60,150,Trading at last
1IV251B6K,16:25:56,268.60,150,Trading at last
1IV251B6J,16:25:56,268.60,150,Trading at last
1IV251B6I,16:25:56,268.60,150,Trading at last
1IV251B6H,16:25:56,268.60,150,Trading at last
1IV251B6G,16:25:56,268.60,150,Trading at last
1IV251B6F,16:25:56,268.60,150,Trading at last
1IV251B6E,16:25:56,268.60,150,Trading at last
1IV251B6D,16:25:56,268.60,150,Trading at last
1IV251B6C,16:25:56,268.60,150,Trading at last
1IV251B6B,16:25:56,268.60,150,Trading at last
1IV251B6A,16:25:56,268.60,150,Trading at last
1IV251B69,16:25:56,268.60,150,Trading at last
1IV251B68,16:25:56,268.60,150,Trading at last
1IV251B67,16:25:53,268.60,150,Trading at last
1IV251B66,16:25:53,268.60,150,Trading at last
1IV251B65,16:25:53,268.60,150,Trading at last
1IV251B64,16:25:53,268.60,150,Trading at last
1IV251B63,16:25:53,268.60,150,Trading at last
1IV251B62,16:25:53,268.60,150,Trading at last
1IV251B61,16:25:53,268.60,150,Trading at last
1IV251B60,16:25:53,268.60,150,Trading at last
1IV251B5Z,16:25:53,268.60,150,Trading at last
1IV251B5Y,16:25:53,268.60,150,Trading at last
1IV251B5X,16:25:53,268.60,150,Trading at last
1IV251B5W,16:25:53,268.60,150,Trading at last
1IV251B5S,16:25:37,268.60,126,Trading at last
1IV251B5R,16:25:37,268.60,24,Trading at last
1IV251B5Q,16:25:37,268.60,150,Trading at last
1IV251B5P,16:25:37,268.60,150,Trading at last
1IV251B5O,16:25:37,268.60,150,Trading at last
1IV251B5N,16:25:37,268.60,150,Trading at last
1IV251B5M,16:25:37,268.60,150,Trading at last
1IV251B5L,16:25:37,268.60,150,Trading at last
1IV251B5K,16:25:37,268.60,150,Trading at last
1IV251B5J,16:25:37,268.60,150,Trading at last
1IV251B5I,16:25:37,268.60,150,Trading at last
1IV251B3N,16:25:11,268.60,150,Trading at last
1IV251B3M,16:25:11,268.60,150,Trading at last
1IV251B3L,16:25:11,268.60,150,Trading at last
1IV251B3K,16:25:11,268.60,150,Trading at last
1IV251B3J,16:25:11,268.60,150,Trading at last
1IV251B3I,16:25:11,268.60,150,Trading at last
1IV251B3H,16:25:11,268.60,150,Trading at last
1IV251B3G,16:25:11,268.60,150,Trading at last
1IV251B3F,16:25:11,268.60,150,Trading at last
1IV251B3E,16:25:11,268.60,150,Trading at last
1IV251B3D,16:25:11,268.60,450,Trading at last
1IV251B3C,16:25:11,268.60,150,Trading at last
1IV251B3B,16:25:11,268.60,150,Trading at last
1IV251B3A,16:25:11,268.60,150,Trading at last
1IV251B39,16:25:11,268.60,150,Trading at last
1IV251B38,16:25:11,268.60,150,Trading at last
1IV251B37,16:25:10,268.60,450,Trading at last
1IV251B36,16:25:10,268.60,150,Trading at last
1IV251B35,16:25:09,268.60,150,Trading at last
1IV251B34,16:25:09,268.60,150,Trading at last
1IV251B33,16:25:09,268.60,150,Trading at last
1IV251B32,16:25:09,268.60,149,Trading at last
1IV251B31,16:25:07,268.60,150,Trading at last
1IV251B30,16:25:07,268.60,150,Trading at last
1IV251B2Z,16:25:07,268.60,150,Trading at last
1IV251B2Y,16:25:07,268.60,150,Trading at last
1IV251B2X,16:25:07,268.60,150,Trading at last
1IV251B2W,16:25:07,268.60,150,Trading at last
1IV251B2V,16:25:07,268.60,150,Trading at last
1IV251B2U,16:25:07,268.60,150,Trading at last
1IV251B2T,16:25:07,268.60,150,Trading at last
1IV251B2S,16:25:07,268.60,150,Trading at last
1IV251B2R,16:25:07,268.60,150,Trading at last
1IV251B2Q,16:25:07,268.60,150,Trading at last
1IV251B2P,16:25:07,268.60,150,Trading at last
1IV251B2O,16:25:07,268.60,150,Trading at last
1IV251B2N,16:25:07,268.60,150,Trading at last
1IV251B2M,16:25:05,268.60,150,Trading at last
1IV251B2L,16:25:05,268.60,150,Trading at last
1IV251B2K,16:25:05,268.60,150,Trading at last
1IV251B2J,16:25:05,268.60,150,Trading at last
1IV251B2I,16:25:05,268.60,150,Trading at last
1IV251B2H,16:25:05,268.60,150,Trading at last
1IV251B2G,16:25:05,268.60,150,Trading at last
1IV251B2F,16:25:05,268.60,150,Trading at last
1IV251B2E,16:25:05,268.60,150,Trading at last
1IV251B2D,16:25:05,268.60,150,Trading at last
1IV251B2C,16:25:05,268.60,150,Trading at last
1IV251B2B,16:25:05,268.60,150,Trading at last
1IV251B2A,16:25:05,268.60,150,Trading at last
1IV251B29,16:25:05,268.60,150,Trading at last
1IV251B28,16:25:05,268.60,150,Trading at last
1IV251B27,16:25:05,268.60,300,Trading at last
1IV251B26,16:25:05,268.60,450,Trading at last
1IV251B25,16:25:01,268.60,400,Trading at last
1IV251B24,16:25:01,268.60,327,Trading at last
1IV251B23,16:25:01,268.60,2 173,Trading at last
1IV251B22,16:25:01,268.60,729,Auction
1IV251B21,16:25:01,268.60,471,Auction
1IV251B20,16:25:01,268.60,734,Auction
1IV251B1Z,16:25:01,268.60,996,Auction
1IV251B1Y,16:25:01,268.60,800,Auction
1IV251B1X,16:25:01,268.60,741,Auction
1IV251B1W,16:25:01,268.60,459,Auction
1IV251B1V,16:25:01,268.60,762,Auction
1IV251B1U,16:25:01,268.60,968,Auction
1IV251B1T,16:25:01,268.60,3 582,Auction
1IV251B1S,16:25:01,268.60,2 754,Auction
1IV251B1R,16:25:01,268.60,1 466,Auction
1IV251B1Q,16:25:01,268.60,100,Auction
1IV251B1P,16:25:01,268.60,292,Auction
1IV251B1O,16:25:01,268.60,2 640,Auction
1IV251B1N,16:25:01,268.60,2 031,Auction
1IV251B1M,16:25:01,268.60,2 492,Auction
1IV251B1L,16:25:01,268.60,1 261,Auction
1IV251B1K,16:25:01,268.60,1 477,Auction
1IV251B1J,16:25:01,268.60,2 763,Auction
1IV251B1I,16:25:01,268.60,4 924,Auction
1IV251B1H,16:25:01,268.60,307,Auction
1IV251B1G,16:25:01,268.60,500,Auction
1IV251B1F,16:25:01,268.60,3 578,Auction
1IV251B1E,16:25:01,268.60,10,Auction
1IV251B1D,16:25:01,268.60,2 920,Auction
1IV251B1C,16:25:01,268.60,5 767,Auction
1IV251B1B,16:25:01,268.60,1 168,Auction
1IV251B1A,16:25:01,268.60,659,Auction
1IV251B19,16:25:01,268.60,3 731,Auction
1IV251B18,16:25:01,268.60,583,Auction
1IV251B17,16:25:01,268.60,1 097,Auction
1IV251B16,16:25:01,268.60,1 826,Auction
1IV251B15,16:25:01,268.60,987,Auction
1IV251B14,16:25:01,268.60,207,Auction
1IV251B13,16:25:01,268.60,261,Auction
1IV251B12,16:25:01,268.60,155,Auction
1IV251B11,16:25:01,268.60,3 716,Auction
1IV251B10,16:25:01,268.60,3 500,Auction
1IV251B0Z,16:25:01,268.60,3 457,Auction
1IV251B0Y,16:25:01,268.60,248,Auction
1IV251B0X,16:25:01,268.60,47,Auction
1IV251B0W,16:25:01,268.60,176,Auction
1IV251B0V,16:25:01,268.60,2 059,Auction
1IV251B0U,16:25:01,268.60,3 205,Auction
1IV251B0T,16:25:01,268.60,176,Auction
1IV251B0S,16:25:01,268.60,1 921,Auction
1IV251B0R,16:25:01,268.60,2 953,Auction
1IV251B0Q,16:25:01,268.60,4 469,Auction
1IV251B0P,16:25:01,268.60,33 524,Auction
1IV251B0O,16:25:01,268.60,11 431,Auction
1IV251B0N,16:25:01,268.60,685,Auction
1IV251B0M,16:25:01,268.60,1 135,Auction
